studioLabel,animeLabel
Bandai Namco Filmworks,Artiswitch
Tōei animation,Ojamajo Doremi Dokka~n!
EMT Squared,"Kuma Kuma Kuma Bear, season 1"
Studio Deen,"Is This a Zombie?, season 1"
Studio Deen,Hell Girl: Two Mirrors
Tōei animation,Ojamajo Doremi ♯
Platinum Vision,"Kono Oto Tomare! Sounds of Life, season 1"
Platinum Vision,"Kono Oto Tomare! Sounds of Life, season 2"
CygamesPictures,"Princess Connect! Re:Dive, season 1"
CygamesPictures,"Princess Connect! Re:Dive, season 2"
Bones,Sword of the Stranger
OLM,Pokemon
Studio Deen,Hell Girl: The Fourth Twilight
Studio Blanc,"Ro-Kyu-Bu!, season 1"
Production I.G,Ghost in the Shell: S.A.C. 2nd GIG
Yaoyorozu,Kemurikusa
OLM,"Restaurant to Another World, season 2"
Kyoto Animation,"Love, Chunibyo and Other Delusions! -Heart Throb-"
Kyoto Animation,K-ON!!
Production I.G,L'île de Giovanni
Studio Kai,"Uma Musume Pretty Derby, season 2"
Bandai Namco Filmworks,City Hunter '91
Bandai Namco Filmworks,City Hunter 2
Bandai Namco Filmworks,City Hunter 3
Bandai Namco Filmworks,"City Hunter, season 1"
OLM,"Age 12: A Little Heart-Pounding, season 2"
Studio Deen,"Gurazeni, season 2"
Kyoto Animation,Miss Kobayashi's Dragon Maid S
Bandai Namco Filmworks,Genjitsu no Yohane: Sunshine in the Mirror
OLM,"Age 12: A Little Heart-Pounding, season 1"
Studio Deen,Is This a Zombie? of the Dead
Kyoto Animation,"Sound! Euphonium, season 1"
Kyoto Animation,"Sound! Euphonium, season 2"
Kyoto Animation,"Sound! Euphonium, season 3"
White fox,Is the Order a Rabbit?
Studio Deen,"Gurazeni, season 1"
Anime International Company,"Date A Live, season 1"
Bones,Fullmetal Alchemist : L'Étoile sacrée de Milos
Ashi Productions,"In Another World With My Smartphone, season 1"
